area;ciudad;conglomerado;panelm;vivienda;hogar;c01;c02;c03;c04a;c07;c08a;c09;c10;c11;c12;c13;c14;c18;c19;c20a;c21a;estrato;fexp;upm;id_vivienda;id_hogar;periodo
1;010150;014003;063;01;1;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2711;19,3384557840627;010150014003;01015001400306301;010150014003063011;202605
1;010150;014003;063;02;1;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2711;19,3384557840627;010150014003;01015001400306302;010150014003063021;202605
1;010150;014003;063;03;1;2;2;2;2;3;2;2;2;2;2;2;2;2;2;2;2;2711;19,3384557840627;010150014003;01015001400306303;010150014003063031;202605
1;010150;014003;063;04;1;2;2;1;3;2;2;2;2;2;2;2;2;1;2;2;2;2711;19,3384557840627;010150014003;01015001400306304;010150014003063041;202605
1;010150;014003;063;05;1;2;1;2;2;2;2;2;2;2;2;2;2;3;3;3;2;2711;19,3384557840627;010150014003;01015001400306305;010150014003063051;202605
1;010150;014003;063;06;1;2;2;2;2;2;2;2;2;2;2;2;2;3;2;2;2;2711;19,3384557840627;010150014003;01015001400306306;010150014003063061;202605
1;010150;014003;063;07;1;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;2;2711;19,3384557840627;010150014003;01015001400306307;010150014003063071;202605
1;010150;016501;063;01;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2713;63,4254739681514;010150016501;01015001650106301;010150016501063011;202605
1;010150;016501;063;02;1;2;2;2;2;2;2;2;2;2;2;2;2;3;3;2;2;2713;63,4254739681514;010150016501;01015001650106302;010150016501063021;202605
1;010150;016501;063;03;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;2713;63,4254739681514;010150016501;01015001650106303;010150016501063031;202605
1;010150;016501;063;04;1;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2713;63,4254739681514;010150016501;01015001650106304;010150016501063041;202605
1;010150;016501;063;06;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2713;63,4254739681514;010150016501;01015001650106306;010150016501063061;202605
1;010150;016501;063;07;1;2;2;1;1;2;2;2;2;2;2;2;2;3;3;3;3;2713;63,4254739681514;010150016501;01015001650106307;010150016501063071;202605
1;010150;016501;063;09;1;2;2;1;1;2;2;2;2;2;2;2;3;3;3;3;2;2713;63,4254739681514;010150016501;01015001650106309;010150016501063091;202605
1;010150;017201;066;01;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2711;20,7231952691569;010150017201;01015001720106601;010150017201066011;202605
1;010150;017201;066;02;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2711;20,7231952691569;010150017201;01015001720106602;010150017201066021;202605
1;010150;017201;066;04;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2711;20,7231952691569;010150017201;01015001720106604;010150017201066041;202605
1;010150;017201;066;05;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2711;20,7231952691569;010150017201;01015001720106605;010150017201066051;202605
1;010150;017201;066;06;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2711;20,7231952691569;010150017201;01015001720106606;010150017201066061;202605
1;010150;017201;066;07;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2711;20,7231952691569;010150017201;01015001720106607;010150017201066071;202605
1;010150;017201;066;09;1;2;2;2;2;2;2;2;2;3;2;2;2;2;2;2;2;2711;20,7231952691569;010150017201;01015001720106609;010150017201066091;202605
1;010150;017702;083;01;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2713;179,166642363697;010150017702;01015001770208301;010150017702083011;202605
1;010150;017702;083;02;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2713;179,166642363697;010150017702;01015001770208302;010150017702083021;202605
1;010150;017702;083;03;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2713;179,166642363697;010150017702;01015001770208303;010150017702083031;202605
1;010150;017702;083;05;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2713;179,166642363697;010150017702;01015001770208305;010150017702083051;202605
